WallOne,True,False,100,21,17.961772486772485,0,6.5386129157217,1
SlitTwo,True,False,122,35,16.361587301587303,0,2.4855437554214013,1
RoomOne,True,False,116,31,13.314605734767026,0,0.7402203300817018,1
SlitThree,True,False,117,23,15.319927536231887,0,3.953449490209091,1
SlitOne,True,False,109,19,19.137573099415203,0,0.8224670334241132,1
WallThree,True,False,127,33,16.807239057239055,0,2.640890240135239,1
CorridorTwo,True,False,132,43,10.677260981912145,0,0.9252754126021265,1
CorridorOne,True,False,145,45,10.729012345679013,0,2.1449566383049326,1
WallOne,True,False,146,36,21.40817901234568,0,1.004584733682309,1
WallTwo,True,False,156,38,16.404312865497076,0,1.51711824408637,1
BugTrapTwo,True,False,158,55,11.618383838383835,0,0.5483113556160755,1
PlankPileOne,True,False,161,45,14.631111111111109,0,0.6308695995014505,1
BugTrapThree,True,False,167,67,11.238888888888885,0,0.45796459815660856,1
WallThree,True,False,61,20,16.775277777777777,0,1.396029569890929,1
RoomOne,True,False,51,22,11.643939393939394,0,1.2924481953807494,1
RoomTwo,True,False,51,20,17.02583333333333,0,0.19479482370571102,1
BugTrapOne,True,False,196,58,11.214798850574713,0,1.6232901975475924,1
SlitTwo,True,False,95,37,15.459309309309312,0,2.3817274509573285,1
SlitThree,True,False,106,39,17.064886039886034,0,7.970354869958678,1
WallTwo,True,False,125,40,20.487361111111106,0,8.509370461195635,1
SlitOne,True,False,129,43,21.548837209302327,0,0.9105885012909816,1
CorridorOne,True,False,89,42,11.039219576719576,0,2.1965887843887906,1
PlankPileOne,True,False,106,44,13.963952020202022,0,0.7459584721753586,1
CorridorThree,True,False,257,96,8.461140046296295,0,3.4998136659126082,1
CorridorTwo,True,False,131,55,10.84479797979798,0,1.37077838904019,1
PlankPileTwo,True,False,302,84,18.351984126984128,0,1.7316399288055877,1
BugTrapOne,True,False,129,53,12.41100628930818,0,0.9608629284714398,1
WallTwo,True,False,82,26,21.057158119658123,0,0.8389163740925956,1
WallThree,True,False,78,28,17.189384920634918,0,1.2565468566201725,1
SlitTwo,True,False,84,25,18.226222222222223,0,8.841520609309217,1
BugTrapTwo,True,False,160,59,12.033380414312617,0,1.5421256876702127,1
SlitThree,True,False,89,32,13.866840277777783,0,1.631668469534934,1
CorridorThree,True,False,192,76,8.283991228070171,0,0.822467033424113,1
RoomThree,True,False,373,89,23.28626716604245,0,0.4696473685177459,1
RoomTwo,True,False,381,93,17.737066905615293,0,0.39558876335888044,1
SlitOne,True,False,142,35,19.48309523809524,0,9.633749884151563,1
BugTrapThree,True,False,191,65,11.177564102564101,0,1.0216582680815152,1
WallOne,True,False,189,44,20.772979797979794,0,18.864142132896088,1
PlankPileTwo,True,False,273,68,18.932720588235295,0,1.2889408732765955,1
RoomOne,True,False,175,49,12.70878684807256,0,0.5140418958900708,1
CorridorTwo,True,False,135,41,10.34369918699187,0,2.513664870902448,1
CorridorOne,True,False,146,46,12.074758454106275,0,0.8087592495337107,1
PlankPileOne,True,False,176,49,14.038208616780047,0,8.05760671807686,1
WallThree,True,False,102,36,17.37739197530864,0,0.7930932108018235,1
RoomThree,True,False,361,93,18.28195937873357,0,1.0861928756633679,1
WallTwo,True,False,134,45,16.014074074074077,0,1.1355652791026107,1
RoomOne,True,False,42,18,13.208333333333334,0,0.2539971720868585,1
WallOne,True,False,137,41,20.915040650406507,0,0.9098541557254246,1
CorridorThree,True,False,180,73,8.357039573820396,0,0.5654460854790773,1
SlitTwo,True,False,99,36,18.519521604938276,0,0.9869604401089355,1
BugTrapTwo,True,False,165,57,12.048440545808965,0,0.49568325675113967,1
BugTrapOne,True,False,179,60,12.705046296296297,0,0.6377604538839518,1
BugTrapThree,True,False,166,65,11.083931623931626,0,0.9638285547938822,1
SlitOne,True,False,126,46,20.753925120772948,0,0.8910059528761217,1
SlitThree,True,False,80,34,17.523692810457515,0,16.337186073015342,1
RoomTwo,True,False,270,77,17.257864357864356,0,0.34900739247273227,1
CorridorOne,True,False,82,42,11.521957671957669,0,0.8425272049710424,1
PlankPileOne,True,False,107,46,14.762318840579704,0,0.6716814106296926,1
WallOne,True,False,60,24,21.962962962962962,0,24.083980304832192,1
CorridorTwo,True,False,97,50,9.987833333333334,0,1.2085229878884927,1
BugTrapOne,True,False,101,52,11.479861111111111,0,0.979703378049311,1
RoomOne,True,False,20,11,14.786363636363633,0,0.5551652475612765,1
WallTwo,True,False,88,30,20.750648148148148,0,21.717383822224647,1
RoomTwo,True,False,177,62,17.808512544802863,0,0.5460641779291242,1
BugTrapTwo,True,False,122,56,11.975446428571427,0,0.9757449805622433,1
PlankPileTwo,True,False,360,96,19.199189814814808,0,0.9609877969481748,1
SlitOne,True,False,70,33,16.19141414141414,0,1.079487981369148,1
SlitThree,True,False,64,28,17.784226190476193,0,3.4269459726004725,1
BugTrapThree,True,False,140,66,11.376683501683502,0,0.9015504020225853,1
WallThree,True,False,127,53,16.173951781970647,0,1.2099755395566276,1
SlitTwo,True,False,104,41,19.077032520325204,0,1.0486454676157428,1
CorridorThree,True,False,192,98,8.605867346938776,0,0.9984071462442201,1
CorridorOne,True,False,88,45,10.92462962962963,0,4.822647605077756,1
PlankPileOne,True,False,110,46,14.777234299516907,0,1.9053819607658622,1
RoomTwo,True,False,119,44,18.032828282828287,0,0.6742316960046509,1
CorridorTwo,True,False,84,41,10.672493224932248,0,1.0640667244924449,1
BugTrapOne,True,False,110,50,11.905333333333333,0,0.541317588325054,1
WallOne,True,False,77,27,22.65133744855967,0,0.7592003385453354,1
