0,1,0,1077,148,1000,1,1,1
0,1,0,1356,172,1000,1,1,1
2,1,0,1456,233,1000,1,1,1
0,1,0,1011,140,1000,1,1,1
0,1,0,976,148,1000,1,1,1
0,1,0,839,155,1000,1,1,1
0,1,0,863,150,1000,1,1,1
0,1,0,1031,171,1000,1,1,1
0,1,0,830,141,1000,1,1,1
0,1,0,740,123,1000,1,1,1
0,1,0,1007,142,1000,1,1,1
0,1,0,663,121,1000,1,1,1
0,1,0,1015,161,1000,1,1,1
0,1,0,1055,177,1000,1,1,1
0,1,0,1029,145,1000,1,1,1
0,1,0,960,157,1000,1,1,1
0,1,0,1146,178,1000,1,1,1
0,1,0,986,153,1000,1,1,1
0,1,0,1088,158,1000,1,1,1
0,1,0,755,136,1000,1,1,2
0,1,0,887,176,1000,1,1,2
0,1,0,698,148,1000,1,1,2
0,1,0,577,117,1000,1,1,2
0,1,0,653,148,1000,1,1,2
0,1,0,713,138,1000,1,1,2
2,1,0,646,172,1000,1,1,2
0,1,0,704,156,1000,1,1,2
2,1,0,540,143,1000,1,1,2
0,1,0,724,134,1000,1,1,2
0,1,0,680,143,1000,1,1,2
0,1,0,698,153,1000,1,1,2
0,1,0,646,140,1000,1,1,2
0,1,0,821,164,1000,1,1,2
0,1,0,760,171,1000,1,1,2
0,1,0,636,151,1000,1,1,2
2,1,0,502,175,1000,1,1,2
0,1,0,442,142,1000,1,1,2
0,1,0,477,138,1000,1,1,2
2,1,0,334,186,1000,1,1,2
0,1,0,576,117,1000,1,1,3
0,1,0,721,126,1000,1,1,3
2,1,0,638,151,1000,1,1,3
0,1,0,800,140,1000,1,1,3
0,1,0,572,120,1000,1,1,3
0,1,0,755,138,1000,1,1,3
2,1,0,709,183,1000,1,1,3
2,1,0,707,185,1000,1,1,3
0,1,0,833,159,1000,1,1,3
2,1,0,718,182,1000,1,1,3
0,1,0,785,152,1000,1,1,3
0,1,0,692,144,1000,1,1,3
2,1,0,535,150,1000,1,1,3
0,1,0,715,143,1000,1,1,3
0,1,0,588,157,1000,1,1,3
0,1,0,727,163,1000,1,1,3
2,1,0,535,188,1000,1,1,3
0,1,0,529,165,1000,1,1,3
2,1,0,576,160,1000,1,1,4
0,1,0,627,157,1000,1,1,4
2,1,0,887,134,1000,1,1,4
0,1,0,721,122,1000,1,1,4
0,1,0,885,160,1000,1,1,4
2,1,0,337,153,1000,1,1,4
0,1,0,1176,143,1000,1,1,5
0,1,0,1450,156,1000,1,1,5
0,1,0,1046,122,1000,1,1,5
0,1,0,1577,167,1000,1,1,5
0,1,0,689,138,1000,1,1,6
0,1,0,695,140,1000,1,1,6
0,1,0,664,142,1000,1,1,6
0,1,0,603,120,1000,1,1,6
0,1,0,496,129,1000,1,1,6
0,1,0,547,152,1000,1,1,6
0,1,0,842,111,1000,1,1,7
0,1,0,1089,140,1000,1,1,7
0,1,0,1059,142,1000,1,1,7
0,1,0,1354,167,1000,1,1,7
0,1,0,1327,153,1000,1,1,7
0,1,0,644,115,1000,1,1,7
0,1,0,690,143,1000,1,1,8
0,1,0,634,131,1000,1,1,8
0,1,0,812,170,1000,1,1,8
0,1,0,578,127,1000,1,1,8
0,1,0,892,120,1000,1,1,9
0,1,0,1054,129,1000,1,1,9
2,1,0,1070,164,1000,1,1,9
0,1,0,1129,131,1000,1,1,10
0,1,0,606,136,1000,1,1,10
0,1,0,655,130,1000,1,1,11
2,1,0,650,138,1000,1,1,11
2,1,0,889,137,1000,1,1,11
0,1,0,1094,141,1000,1,1,11
0,1,0,653,144,1000,1,1,12
2,1,0,1002,163,1000,1,1,13
0,1,0,672,152,1000,1,1,13
0,1,0,1016,124,1000,1,1,14
2,1,0,832,143,1000,1,1,14
0,1,0,911,141,1000,1,1,15
0,1,0,602,144,1000,1,1,15
0,1,0,922,113,1000,1,1,16
0,1,0,1046,147,1000,1,1,16
2,1,0,468,140,1000,1,1,16
2,1,0,230,160,1000,1,1,16
2,1,0,1011,159,1000,1,1,18
0,1,0,1096,146,1000,1,1,18
2,1,0,775,162,1000,1,1,18
0,1,0,849,162,1000,1,1,18
0,1,0,304,122,1000,1,1,19
2,1,0,980,159,1000,1,1,20
0,1,0,845,133,1000,1,1,20
0,1,0,755,117,1000,1,2,1
0,1,0,919,143,1000,1,2,1
0,1,0,640,138,1000,1,2,1
0,1,0,644,159,1000,1,2,1
0,1,0,525,150,1000,1,2,1
0,1,0,1012,141,1000,1,2,2
0,1,0,1314,143,1000,1,2,2
2,1,0,1531,255,1000,1,2,2
2,1,0,1453,254,1000,1,2,2
2,1,0,1823,274,1000,1,2,2
2,1,0,1303,222,1000,1,2,2
0,1,0,1303,169,1000,1,2,2
2,1,0,1340,226,1000,1,2,2
0,1,0,1247,165,1000,1,2,2
2,1,0,1659,275,1000,1,2,2
0,1,0,1062,138,1000,1,2,2
2,1,0,1623,266,1000,1,2,2
0,1,0,1054,147,1000,1,2,2
2,1,0,1309,211,1000,1,2,2
0,1,0,942,132,1000,1,2,2
0,1,0,841,122,1000,1,2,2
0,1,0,1199,174,1000,1,2,2
0,1,0,1023,158,1000,1,2,2
0,1,0,935,164,1000,1,2,2
2,1,0,1164,239,1000,1,2,2
0,1,0,1056,129,1000,1,2,2
0,1,0,1158,168,1000,1,2,2
2,1,0,911,184,1000,1,2,2
2,1,0,892,145,1000,1,2,3
0,1,0,952,137,1000,1,2,3
